Category: All categories

Day,Bitcoin: (United States)
2019-04-01,15
2019-04-02,37
2019-04-03,41
2019-04-04,26
2019-04-05,21
2019-04-06,20
2019-04-07,19
2019-04-08,22
2019-04-09,22
2019-04-10,22
2019-04-11,20
2019-04-12,17
2019-04-13,16
2019-04-14,15
2019-04-15,19
2019-04-16,17
2019-04-17,19
2019-04-18,17
2019-04-19,17
2019-04-20,17
2019-04-21,16
2019-04-22,18
2019-04-23,23
2019-04-24,20
2019-04-25,18
2019-04-26,18
2019-04-27,15
2019-04-28,15
2019-04-29,15
2019-04-30,15
2019-05-01,15
2019-05-02,16
2019-05-03,21
2019-05-04,18
2019-05-05,20
2019-05-06,18
2019-05-07,21
2019-05-08,22
2019-05-09,24
2019-05-10,27
2019-05-11,38
2019-05-12,38
2019-05-13,48
2019-05-14,49
2019-05-15,42
2019-05-16,37
2019-05-17,37
2019-05-18,28
2019-05-19,34
2019-05-20,33
2019-05-21,31
2019-05-22,27
2019-05-23,26
2019-05-24,25
2019-05-25,24
2019-05-26,28
2019-05-27,38
2019-05-28,32
2019-05-29,30
2019-05-30,32
2019-05-31,29
2019-06-01,26
2019-06-02,25
2019-06-03,25
2019-06-04,30
2019-06-05,24
2019-06-06,21
2019-06-07,22
2019-06-08,19
2019-06-09,20
2019-06-10,21
2019-06-11,21
2019-06-12,21
2019-06-13,21
2019-06-14,24
2019-06-15,24
2019-06-16,35
2019-06-17,33
2019-06-18,34
2019-06-19,27
2019-06-20,29
2019-06-21,39
2019-06-22,67
2019-06-23,43
2019-06-24,47
2019-06-25,49
2019-06-26,100
2019-06-27,80
2019-06-28,55
2019-06-29,41
2019-06-30,36
2019-07-01,40
2019-07-02,42
2019-07-03,37
2019-07-04,31
2019-07-05,31
2019-07-06,25
2019-07-07,24
2019-07-08,30
2019-07-09,34
2019-07-10,39
2019-07-11,36
2019-07-12,35
2019-07-13,27
2019-07-14,28
2019-07-15,35
2019-07-16,37
2019-07-17,37
2019-07-18,33
2019-07-19,28
2019-07-20,24
2019-07-21,24
2019-07-22,24
2019-07-23,26
2019-07-24,27
2019-07-25,24
2019-07-26,24
2019-07-27,25
2019-07-28,21
2019-07-29,24
2019-07-30,22
2019-07-31,24
2019-08-01,23
2019-08-02,23
2019-08-03,21
2019-08-04,22
2019-08-05,36
2019-08-06,32
2019-08-07,28
2019-08-08,25
2019-08-09,23
2019-08-10,22
2019-08-11,19
2019-08-12,21
2019-08-13,24
2019-08-14,28
2019-08-15,28
2019-08-16,22
2019-08-17,20
2019-08-18,20
2019-08-19,21
2019-08-20,20
2019-08-21,21
2019-08-22,22
2019-08-23,21
2019-08-24,19
2019-08-25,18
2019-08-26,20
2019-08-27,19
2019-08-28,22
2019-08-29,23
2019-08-30,17
2019-08-31,16
2019-09-01,17
2019-09-02,18
2019-09-03,20
2019-09-04,19
2019-09-05,16
2019-09-06,19
2019-09-07,17
2019-09-08,15
2019-09-09,17
2019-09-10,17
2019-09-11,16
2019-09-12,16
2019-09-13,15
2019-09-14,14
2019-09-15,14
2019-09-16,16
2019-09-17,15
2019-09-18,15
2019-09-19,18
2019-09-20,15
2019-09-21,14
2019-09-22,14
2019-09-23,17
2019-09-24,28
2019-09-25,30
2019-09-26,30
2019-09-27,24
2019-09-28,19
2019-09-29,18
2019-09-30,21
2019-10-01,20
2019-10-02,19
2019-10-03,18
2019-10-04,16
2019-10-05,16
2019-10-06,16
2019-10-07,18
2019-10-08,17
2019-10-09,19
2019-10-10,17
2019-10-11,15
2019-10-12,15
2019-10-13,15
2019-10-14,16
2019-10-15,15
2019-10-16,16
2019-10-17,16
2019-10-18,15
2019-10-19,14
2019-10-20,14
2019-10-21,15
2019-10-22,15
2019-10-23,22
2019-10-24,18
2019-10-25,22
2019-10-26,35
2019-10-27,21
2019-10-28,22
2019-10-29,20
2019-10-30,19
2019-10-31,17
2019-11-01,16
2019-11-02,16
2019-11-03,15
2019-11-04,16
2019-11-05,17
2019-11-06,17
2019-11-07,16
2019-11-08,17
2019-11-09,15
2019-11-10,14
2019-11-11,15
2019-11-12,15
2019-11-13,14
2019-11-14,14
2019-11-15,15
2019-11-16,15
2019-11-17,14
2019-11-18,16
2019-11-19,17
2019-11-20,16
2019-11-21,20
2019-11-22,22
2019-11-23,19
2019-11-24,18
2019-11-25,25
2019-11-26,20
2019-11-27,19
2019-11-28,16
2019-11-29,15
2019-11-30,15
